#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-1D38A239C13B53FC-94220A77A9CE739
#datatype	hitsFull Results
#status	0
#Start time	2020-02-27T14:17:22	Run time	0:00:01:28
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#29 - >tr|A3DP08|A3DP08_STAMF Uncharacterized protein OS=Staphylothermus marinus (strain ATCC 43588 / DSM 3639 / JCM 9404 / F1) OX=399550 GN=Smar_1277 PE=4 SV=1	superfamily	328813	21	152	0.00199653	38.2507	cl21588	Snf7 superfamily	C	 - 
Q#30 - >tr|Q97ZX1|Q97ZX1_SACS2 Uncharacterized protein OS=Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) OX=273057 GN=SSO0451 PE=4 SV=1	specific	227778	67	273	3.51723e-64	200.035	COG5491	Did4	 - 	cl21588
Q#30 - >tr|Q97ZX1|Q97ZX1_SACS2 Uncharacterized protein OS=Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) OX=273057 GN=SSO0451 PE=4 SV=1	superfamily	328813	67	273	3.51723e-64	200.035	cl21588	Snf7 superfamily	 - 	 - 
Q#31 - >tr|Q97ZL3|Q97ZL3_SACS2 Uncharacterized protein OS=Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) OX=273057 GN=SSO0881 PE=4 SV=1	specific	227778	8	210	3.0857e-55	174.997	COG5491	Did4	 - 	cl21588
Q#31 - >tr|Q97ZL3|Q97ZL3_SACS2 Uncharacterized protein OS=Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) OX=273057 GN=SSO0881 PE=4 SV=1	superfamily	328813	8	210	3.0857e-55	174.997	cl21588	Snf7 superfamily	 - 	 - 
Q#32 - >tr|Q97ZJ6|Q97ZJ6_SACS2 Uncharacterized protein OS=Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) OX=273057 GN=SSO0910 PE=1 SV=1	specific	227778	1	194	4.55464e-51	165.752	COG5491	Did4	 - 	cl21588
Q#32 - >tr|Q97ZJ6|Q97ZJ6_SACS2 Uncharacterized protein OS=Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) OX=273057 GN=SSO0910 PE=1 SV=1	superfamily	328813	1	194	4.55464e-51	165.752	cl21588	Snf7 superfamily	 - 	 - 
Q#33 - >tr|Q7LXR9|Q7LXR9_SACS2 Uncharacterized protein OS=Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) OX=273057 GN=SSO0619 PE=4 SV=1	specific	227778	1	167	1.33777e-41	138.017	COG5491	Did4	 - 	cl21588
Q#33 - >tr|Q7LXR9|Q7LXR9_SACS2 Uncharacterized protein OS=Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) OX=273057 GN=SSO0619 PE=4 SV=1	superfamily	328813	1	167	1.33777e-41	138.017	cl21588	Snf7 superfamily	 - 	 - 
Q#34 - >tr|Q972B4|Q972B4_SULTO Uncharacterized protein OS=Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) OX=273063 GN=ST1214 PE=4 SV=1	specific	227778	1	194	7.91525e-40	136.862	COG5491	Did4	 - 	cl21588
Q#34 - >tr|Q972B4|Q972B4_SULTO Uncharacterized protein OS=Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) OX=273063 GN=ST1214 PE=4 SV=1	superfamily	328813	1	194	7.91525e-40	136.862	cl21588	Snf7 superfamily	 - 	 - 
Q#34 - >tr|Q972B4|Q972B4_SULTO Uncharacterized protein OS=Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) OX=273063 GN=ST1214 PE=4 SV=1	non-specific	240361	218	266	0.000477227	40.7214	PTZ00326	PTZ00326	C	cl30525
Q#34 - >tr|Q972B4|Q972B4_SULTO Uncharacterized protein OS=Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) OX=273063 GN=ST1214 PE=4 SV=1	superfamily	240361	218	266	0.000477227	40.7214	cl30525	PTZ00326 superfamily	C	 - 
Q#35 - >tr|Q971Z1|Q971Z1_SULTO Uncharacterized protein OS=Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) OX=273063 GN=ST1237 PE=4 SV=1	specific	227778	5	208	7.59776e-53	168.833	COG5491	Did4	 - 	cl21588
Q#35 - >tr|Q971Z1|Q971Z1_SULTO Uncharacterized protein OS=Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) OX=273063 GN=ST1237 PE=4 SV=1	superfamily	328813	5	208	7.59776e-53	168.833	cl21588	Snf7 superfamily	 - 	 - 
Q#35 - >tr|Q971Z1|Q971Z1_SULTO Uncharacterized protein OS=Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) OX=273063 GN=ST1237 PE=4 SV=1	non-specific	234705	33	164	0.0030943	37.7798	PRK00260	cysS	N	cl35082
Q#35 - >tr|Q971Z1|Q971Z1_SULTO Uncharacterized protein OS=Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) OX=273063 GN=ST1237 PE=4 SV=1	superfamily	234705	33	164	0.0030943	37.7798	cl35082	cysS superfamily	N	 - 
Q#36 - >tr|F9VMM4|F9VMM4_SULTO Uncharacterized protein OS=Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) OX=273063 GN=ST0168 PE=4 SV=1	specific	227778	21	198	2.06281e-45	149.188	COG5491	Did4	 - 	cl21588
Q#36 - >tr|F9VMM4|F9VMM4_SULTO Uncharacterized protein OS=Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) OX=273063 GN=ST0168 PE=4 SV=1	superfamily	328813	21	198	2.06281e-45	149.188	cl21588	Snf7 superfamily	 - 	 - 
Q#37 - >tr|Q970W7|Q970W7_SULTO Uncharacterized protein OS=Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) OX=273063 GN=ST1485 PE=4 SV=1	non-specific	227778	2	161	1.67879e-07	48.6511	COG5491	Did4	 - 	cl21588
Q#37 - >tr|Q970W7|Q970W7_SULTO Uncharacterized protein OS=Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) OX=273063 GN=ST1485 PE=4 SV=1	superfamily	328813	2	161	1.67879e-07	48.6511	cl21588	Snf7 superfamily	 - 	 - 
Q#38 - >sp|Q4J924|CDVB_SULAC Cell division protein B OS=Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770) OX=330779 GN=cdvB PE=1 SV=1	specific	227778	1	194	2.5302e-37	130.313	COG5491	Did4	 - 	cl21588
Q#38 - >sp|Q4J924|CDVB_SULAC Cell division protein B OS=Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770) OX=330779 GN=cdvB PE=1 SV=1	superfamily	328813	1	194	2.5302e-37	130.313	cl21588	Snf7 superfamily	 - 	 - 
Q#38 - >sp|Q4J924|CDVB_SULAC Cell division protein B OS=Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770) OX=330779 GN=cdvB PE=1 SV=1	non-specific	225310	138	260	0.00023324	41.2664	COG2512	COG2512	N	cl28356
Q#38 - >sp|Q4J924|CDVB_SULAC Cell division protein B OS=Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770) OX=330779 GN=cdvB PE=1 SV=1	superfamily	225310	138	260	0.00023324	41.2664	cl28356	COG2512 superfamily	N	 - 
Q#39 - >sp|Q4JBG6|CDVB1_SULAC Cell division protein B1 OS=Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770) OX=330779 GN=cdvB1 PE=2 SV=1	specific	227778	4	205	5.72526e-46	150.729	COG5491	Did4	 - 	cl21588
Q#39 - >sp|Q4JBG6|CDVB1_SULAC Cell division protein B1 OS=Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770) OX=330779 GN=cdvB1 PE=2 SV=1	superfamily	328813	4	205	5.72526e-46	150.729	cl21588	Snf7 superfamily	 - 	 - 
Q#40 - >sp|Q4J8Y4|CDVB2_SULAC Cell division protein B2 OS=Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770) OX=330779 GN=cdvB2 PE=2 SV=1	specific	227778	5	208	4.3656e-53	169.219	COG5491	Did4	 - 	cl21588
Q#40 - >sp|Q4J8Y4|CDVB2_SULAC Cell division protein B2 OS=Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770) OX=330779 GN=cdvB2 PE=2 SV=1	superfamily	328813	5	208	4.3656e-53	169.219	cl21588	Snf7 superfamily	 - 	 - 
Q#41 - >sp|Q4J8G7|CDVB3_SULAC Cell division protein B3 OS=Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770) OX=330779 GN=cdvB3 PE=4 SV=1	non-specific	227778	2	165	5.62522e-08	49.8067	COG5491	Did4	 - 	cl21588
Q#41 - >sp|Q4J8G7|CDVB3_SULAC Cell division protein B3 OS=Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770) OX=330779 GN=cdvB3 PE=4 SV=1	superfamily	328813	2	165	5.62522e-08	49.8067	cl21588	Snf7 superfamily	 - 	 - 
Q#41 - >sp|Q4J8G7|CDVB3_SULAC Cell division protein B3 OS=Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770) OX=330779 GN=cdvB3 PE=4 SV=1	non-specific	313158	85	121	0.00349432	35.7852	pfam09879	DUF2106	N	cl23961
Q#41 - >sp|Q4J8G7|CDVB3_SULAC Cell division protein B3 OS=Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770) OX=330779 GN=cdvB3 PE=4 SV=1	superfamily	329196	85	121	0.00349432	35.7852	cl23961	DUF2106 superfamily	N	 - 
Q#42 - >tr|A4YHC4|A4YHC4_METS5 Conserved protein implicated in secretion-like protein OS=Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2) OX=399549 GN=Msed_1671 PE=4 SV=1	specific	227778	1	190	5.60122e-30	111.439	COG5491	Did4	 - 	cl21588
Q#42 - >tr|A4YHC4|A4YHC4_METS5 Conserved protein implicated in secretion-like protein OS=Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2) OX=399549 GN=Msed_1671 PE=4 SV=1	superfamily	328813	1	190	5.60122e-30	111.439	cl21588	Snf7 superfamily	 - 	 - 
Q#43 - >tr|A4YHE8|A4YHE8_METS5 Snf7 OS=Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2) OX=399549 GN=Msed_1695 PE=4 SV=1	specific	227778	1	209	2.01316e-46	152.27	COG5491	Did4	 - 	cl21588
Q#43 - >tr|A4YHE8|A4YHE8_METS5 Snf7 OS=Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2) OX=399549 GN=Msed_1695 PE=4 SV=1	superfamily	328813	1	209	2.01316e-46	152.27	cl21588	Snf7 superfamily	 - 	 - 
Q#43 - >tr|A4YHE8|A4YHE8_METS5 Snf7 OS=Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2) OX=399549 GN=Msed_1695 PE=4 SV=1	non-specific	308778	41	206	0.00966041	35.3022	pfam03357	Snf7	 - 	cl21588
Q#44 - >tr|A4YI57|A4YI57_METS5 Uncharacterized protein OS=Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2) OX=399549 GN=Msed_1969 PE=4 SV=1	non-specific	227778	1	152	4.16457e-09	52.8883	COG5491	Did4	 - 	cl21588
Q#44 - >tr|A4YI57|A4YI57_METS5 Uncharacterized protein OS=Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2) OX=399549 GN=Msed_1969 PE=4 SV=1	superfamily	328813	1	152	4.16457e-09	52.8883	cl21588	Snf7 superfamily	 - 	 - 
Q#45 - >tr|A4YIR6|A4YIR6_METS5 Conserved protein implicated in secretion-like protein OS=Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2) OX=399549 GN=Msed_2179 PE=4 SV=1	specific	227778	5	203	3.29675e-47	153.811	COG5491	Did4	 - 	cl21588
Q#45 - >tr|A4YIR6|A4YIR6_METS5 Conserved protein implicated in secretion-like protein OS=Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2) OX=399549 GN=Msed_2179 PE=4 SV=1	superfamily	328813	5	203	3.29675e-47	153.811	cl21588	Snf7 superfamily	 - 	 - 
Q#46 - >tr|F0NEW1|F0NEW1_SULIR Cell division protein CdvB, Vps2 like protein OS=Sulfolobus islandicus (strain REY15A) OX=930945 GN=SiRe_1174 PE=4 SV=1	specific	227778	1	193	5.41592e-51	165.367	COG5491	Did4	 - 	cl21588
Q#46 - >tr|F0NEW1|F0NEW1_SULIR Cell division protein CdvB, Vps2 like protein OS=Sulfolobus islandicus (strain REY15A) OX=930945 GN=SiRe_1174 PE=4 SV=1	superfamily	328813	1	193	5.41592e-51	165.367	cl21588	Snf7 superfamily	 - 	 - 
Q#47 - >tr|F0NI90|F0NI90_SULIR Uncharacterized protein OS=Sulfolobus islandicus (strain REY15A) OX=930945 GN=SiRe_1388 PE=4 SV=1	specific	227778	1	167	1.35598e-36	125.306	COG5491	Did4	 - 	cl21588
Q#47 - >tr|F0NI90|F0NI90_SULIR Uncharacterized protein OS=Sulfolobus islandicus (strain REY15A) OX=930945 GN=SiRe_1388 PE=4 SV=1	superfamily	328813	1	167	1.35598e-36	125.306	cl21588	Snf7 superfamily	 - 	 - 
Q#48 - >tr|F0NEY7|F0NEY7_SULIR Uncharacterized protein OS=Sulfolobus islandicus (strain REY15A) OX=930945 GN=SiRe_1200 PE=4 SV=1	specific	227778	8	210	3.0857e-55	174.997	COG5491	Did4	 - 	cl21588
